"1800CSBS0B1","",384325,397939,"Manchester Central Coach Station","Stand B","NA","CHORLTON STREET","Manchester Central Coach Station","E0057786","","","BCS","MKD","TIP","ACT",1,"NAME AMENDED","N","MANTMPMT","","2008-06-10"
"1800CSBS0C1","",384317,397933,"Manchester Central Coach Station","Stand C","NA","CHORLTON STREET","Manchester Central Coach Station","E0057786","","","BCS","MKD","TIP","ACT",1,"NAME AMENDED","N","MANTMPMP","","2008-06-10"
"1800CSBS0D1","",384309,397926,"Manchester Central Coach Station","Stand D","NA","CHORLTON STREET","Manchester Central Coach Station","E0057786","","","BCS","MKD","TIP","ACT",1,"NAME AMENDED","N","MANTMPMW","","2008-06-10"
"1800EBH0011","",388602,395600,"Levenshulme Road/Ryderbrow Road","Ryderbrow Road","N","LEVENSHULME RD","RYDERBROW ROAD","E0029286","","","BCT","HAR","OTH","DEL",0,"","N","","Ryderbrow Rd","2007-11-01"
"1800EBH0012","",388602,395600,"Levenshulme Road/Ryderbrow Road","Ryderbrow Road","S","LEVENSHULME RD","RYDERBROW ROAD","E0029286","","","BCT","HAR","OTH","DEL",0,"","N","","Ryderbrow Rd","2007-11-01"
"1800EBH0021","",388705,395590,"Ryderbrow Rd (playing field - Ebd)","Highgate Cres","E","RYDERBROW ROAD","HIGHGATE CRES","E0029286","","","BCT","HAR","OTH","DEL",1,"DIRECTION AMENDED","N","","","2010-04-20"
"1800EBH0031","",387264,395513,"Northmoor Road (northbound) - opp EB1049","Stanier Street","N","NORTHMOOR ROAD","STANIER STREET","E0028994","","","BCT","HAR","OTH","ACT",0,"","N","","","2007-11-01"
"1800EBH0041","",386997,396392,"Kirkmanshulme Lane (New Extension)","Redgate Lane","S","KIRKMANSHULME L","REDGATE LANE","E0029521","","","BCT","HAR","OTH","DEL",1,"REMOVED","N","","","2010-09-08"
"1800EBH0042","",386997,396392,"Kirkmanshulme Lane (New Extension)","Redgate Lane","N","KIRKMANSHULME L","REDGATE LANE","E0029521","","","BCT","HAR","OTH","DEL",1,"REMOVED","N","","","2010-09-08"
"1800EBH0051","",387835,393960,"Broom Lane/Elmsworth Ave (Nthbound)","Os Hse 2","N","BROOM LANE","ELMSWORTH AVE","E0028951","","","BCT","HAR","OTH","ACT",1,"INDICATOR AMENDED","N","","","2010-03-30"
"1800EBH0061","",389752,402328,"Northfield Road (Nbd)","Belgrave Road","NW","NORTHFIELD ROAD","BELGRAVE ROAD","E0029125","","","BCT","HAR","OTH","ACT",1,"DIRECTION AMENDED","N","","","2010-04-20"
"1800EBH0071","",389582,402155,"Belgrave Road (Sbd)","Haddon Avenue","SW","BELGRAVE ROAD","HADDON AVENUE","E0029125","","","BCT","HAR","OTH","ACT",0,"","N","","","2007-11-01"
"1800EBH0081","",386058,403310,"White Moss Rd(Wbd)opp.EB1163(to def.rte)","Rochdale Road","W","WHITE MOSS ROAD","ROCHDALE ROAD","E0028557","","","BCT","HAR","OTH","DEL",0,"","N","","","2007-11-01"
"1800EBH0091","",386066,398203,"Palmerston Street (to define route)","Gurney Street","S","PALMERSTON ST","GURNEY STREET","N0074882","","","BCT","HAR","OTH","DEL",0,"","N","","","2007-11-01"
